#,Name,Class,Position,Height,Hometown,High School,team_id,team_name,conference_name,school_url,school_athletic_url,state,division,year,team_short,conference_short
7,Darvin Guan,So.,OH,5-10,,,394,Marymount University (Virginia),Continental Volleyball Conference,www.marymount.edu/,www.marymountsaints.com,VA,D-III,2024-25,Marymount (VA),CVC
3,Evan Cao,So.,S,5-10,,,394,Marymount University (Virginia),Continental Volleyball Conference,www.marymount.edu/,www.marymountsaints.com,VA,D-III,2024-25,Marymount (VA),CVC
6,Jonathan Pickering,So.,OH,5-11,,,394,Marymount University (Virginia),Continental Volleyball Conference,www.marymount.edu/,www.marymountsaints.com,VA,D-III,2024-25,Marymount (VA),CVC
17,Gavin Poe,So.,MB,6-6,,,394,Marymount University (Virginia),Continental Volleyball Conference,www.marymount.edu/,www.marymountsaints.com,VA,D-III,2024-25,Marymount (VA),CVC
24,Seth Richards,So.,MB,6-8,,,394,Marymount University (Virginia),Continental Volleyball Conference,www.marymount.edu/,www.marymountsaints.com,VA,D-III,2024-25,Marymount (VA),CVC
15,Michael Schneider,So.,RS,6-2,,,394,Marymount University (Virginia),Continental Volleyball Conference,www.marymount.edu/,www.marymountsaints.com,VA,D-III,2024-25,Marymount (VA),CVC
5,Diego Pena,Jr.,RS,6-0,,,394,Marymount University (Virginia),Continental Volleyball Conference,www.marymount.edu/,www.marymountsaints.com,VA,D-III,2024-25,Marymount (VA),CVC
33,Carter Gresham,So.,S,5-11,,,394,Marymount University (Virginia),Continental Volleyball Conference,www.marymount.edu/,www.marymountsaints.com,VA,D-III,2024-25,Marymount (VA),CVC
88,Owen Pickett,So.,OH,6-2,,,394,Marymount University (Virginia),Continental Volleyball Conference,www.marymount.edu/,www.marymountsaints.com,VA,D-III,2024-25,Marymount (VA),CVC
16,AJ Robateau,So.,MB,6-7,"Oak Park, IL",Oak Park-River Forest,395,Maryville University of Saint Louis,DI Independent,www.maryville.edu,www.maryvillesaints.com,MO,D-I,2024-25,Maryville (MO),DI Independent
7,Jayden Rookhuyzen,Sr.,OH,6-0,"Las Vegas, NV",,395,Maryville University of Saint Louis,DI Independent,www.maryville.edu,www.maryvillesaints.com,MO,D-I,2024-25,Maryville (MO),DI Independent
11,Caden Klingbeil,Sr.,OH,6-3,"Fort Atkinson, WI",Fort Atkinson,395,Maryville University of Saint Louis,DI Independent,www.maryville.edu,www.maryvillesaints.com,MO,D-I,2024-25,Maryville (MO),DI Independent
2,Josh Zhuchenko,Sr.,S,6-2,"Wildwood, MO",,395,Maryville University of Saint Louis,DI Independent,www.maryville.edu,www.maryvillesaints.com,MO,D-I,2024-25,Maryville (MO),DI Independent
4,Joe Nicometo,Sr.,OPP,6-2,"Buffalo, NY",Orchard Park,395,Maryville University of Saint Louis,DI Independent,www.maryville.edu,www.maryvillesaints.com,MO,D-I,2024-25,Maryville (MO),DI Independent
6,Ethan Beyreis-Heim,Sr.,S,6-4,"Milwaukee, WI",Golda Meir,395,Maryville University of Saint Louis,DI Independent,www.maryville.edu,www.maryvillesaints.com,MO,D-I,2024-25,Maryville (MO),DI Independent
9,David Fleischer,Sr.,MB,6-7,"Queen Creek, AZ",Gilbert Christian,395,Maryville University of Saint Louis,DI Independent,www.maryville.edu,www.maryvillesaints.com,MO,D-I,2024-25,Maryville (MO),DI Independent
14,Victor Ganev,Sr.,OPP,6-5,"Ballwin, MO",Parkway West,395,Maryville University of Saint Louis,DI Independent,www.maryville.edu,www.maryvillesaints.com,MO,D-I,2024-25,Maryville (MO),DI Independent
99,Zac Clark,Jr.,L,6-0,"Wildwood, MO",,395,Maryville University of Saint Louis,DI Independent,www.maryville.edu,www.maryvillesaints.com,MO,D-I,2024-25,Maryville (MO),DI Independent
5,Makai Scott,So.,OH,6-0,"Granbury, TX",Granbury,395,Maryville University of Saint Louis,DI Independent,www.maryville.edu,www.maryvillesaints.com,MO,D-I,2024-25,Maryville (MO),DI Independent
8,Jake Usher,So.,S,6-3,"Allen, TX",,395,Maryville University of Saint Louis,DI Independent,www.maryville.edu,www.maryvillesaints.com,MO,D-I,2024-25,Maryville (MO),DI Independent
12,Cooper Campbell,So.,MB,6-8,"Merritt Island, FL",Merritt Island,395,Maryville University of Saint Louis,DI Independent,www.maryville.edu,www.maryvillesaints.com,MO,D-I,2024-25,Maryville (MO),DI Independent
23,Cameron Lee,Sr.,OH,6-1,"Edmond, OK",Edmond North,395,Maryville University of Saint Louis,DI Independent,www.maryville.edu,www.maryvillesaints.com,MO,D-I,2024-25,Maryville (MO),DI Independent
13,Luke Kraft,So.,OPP,6-5,"Kirkwood, MO",Kirkwood,395,Maryville University of Saint Louis,DI Independent,www.maryville.edu,www.maryvillesaints.com,MO,D-I,2024-25,Maryville (MO),DI Independent
99,Matthew Pierre-Louis,Jr.,OH,5-9,,,398,Massachusetts Institute of Technology,United Volleyball Conference,web.mit.edu,www.mitathletics.com,MA,D-III,2024-25,MIT,UVC
1,George Chang,Jr.,L/DS,5-9,,,398,Massachusetts Institute of Technology,United Volleyball Conference,web.mit.edu,www.mitathletics.com,MA,D-III,2024-25,MIT,UVC
16,Kevin Windisch,Jr.,L/DS,6-1,,,398,Massachusetts Institute of Technology,United Volleyball Conference,web.mit.edu,www.mitathletics.com,MA,D-III,2024-25,MIT,UVC
19,Ben Volokh,Jr.,RS,6-5,,,398,Massachusetts Institute of Technology,United Volleyball Conference,web.mit.edu,www.mitathletics.com,MA,D-III,2024-25,MIT,UVC
22,Michael Rini,Jr.,MH,6-7,,,398,Massachusetts Institute of Technology,United Volleyball Conference,web.mit.edu,www.mitathletics.com,MA,D-III,2024-25,MIT,UVC
9,Grant Oh,Sr.,OH,6-4,,,398,Massachusetts Institute of Technology,United Volleyball Conference,web.mit.edu,www.mitathletics.com,MA,D-III,2024-25,MIT,UVC
11,Riley Oh,Sr.,S,6-3,,,398,Massachusetts Institute of Technology,United Volleyball Conference,web.mit.edu,www.mitathletics.com,MA,D-III,2024-25,MIT,UVC
10,Jensen Fiskin,So.,S,6-4,,,398,Massachusetts Institute of Technology,United Volleyball Conference,web.mit.edu,www.mitathletics.com,MA,D-III,2024-25,MIT,UVC
15,Kevin Zhu,So.,OH,6-2,,,398,Massachusetts Institute of Technology,United Volleyball Conference,web.mit.edu,www.mitathletics.com,MA,D-III,2024-25,MIT,UVC
8,Ryan Espinoza,So.,OH,6-3,,,398,Massachusetts Institute of Technology,United Volleyball Conference,web.mit.edu,www.mitathletics.com,MA,D-III,2024-25,MIT,UVC
9,Jay Miller,Jr.,L,6-1,"Yorktown, IN",Yorktown,30138,McKendree University,Midwestern Intercollegiate Volleyball Association,www.mckendree.edu,www.mckbearcats.com,IL,D-I,2024-25,McKendree,MIVA
7,Matthew Molnar,Jr.,OH,6-7,"Downers Grove, IL",Downers Grove South,30138,McKendree University,Midwestern Intercollegiate Volleyball Association,www.mckendree.edu,www.mckbearcats.com,IL,D-I,2024-25,McKendree,MIVA
24,Rolen Lively,Jr.,MB,6-8,"St. Louis, MO",Mehlville,30138,McKendree University,Midwestern Intercollegiate Volleyball Association,www.mckendree.edu,www.mckbearcats.com,IL,D-I,2024-25,McKendree,MIVA
8,Aric Olsen,Jr.,OH,6-3,"Las Vegas, NV",Green Valley,30138,McKendree University,Midwestern Intercollegiate Volleyball Association,www.mckendree.edu,www.mckbearcats.com,IL,D-I,2024-25,McKendree,MIVA
10,Bryce Wetjen,Jr.,OH,6-7,"Las Vegas, NV",Clark,30138,McKendree University,Midwestern Intercollegiate Volleyball Association,www.mckendree.edu,www.mckbearcats.com,IL,D-I,2024-25,McKendree,MIVA
5,Jack Morikawa,Jr.,S,6-1,"Yorba Linda, CA",Servite,30138,McKendree University,Midwestern Intercollegiate Volleyball Association,www.mckendree.edu,www.mckbearcats.com,IL,D-I,2024-25,McKendree,MIVA
11,Joseph Watkins,Jr.,OH,6-5,"La Grange, IL",Lyons Township,30138,McKendree University,Midwestern Intercollegiate Volleyball Association,www.mckendree.edu,www.mckbearcats.com,IL,D-I,2024-25,McKendree,MIVA
2,Tyler Tripp,Sr.,L,6-2,"Hanover Park, IL",Glenbard North,30138,McKendree University,Midwestern Intercollegiate Volleyball Association,www.mckendree.edu,www.mckbearcats.com,IL,D-I,2024-25,McKendree,MIVA
12,Sam Hoskin,Jr.,OH,6-4,"Downers Grove, IL",Downers Grove South,30138,McKendree University,Midwestern Intercollegiate Volleyball Association,www.mckendree.edu,www.mckbearcats.com,IL,D-I,2024-25,McKendree,MIVA
19,Kevin Schuele,Sr.,OH,6-4,"Aurora, IL",Saint Francis,30138,McKendree University,Midwestern Intercollegiate Volleyball Association,www.mckendree.edu,www.mckbearcats.com,IL,D-I,2024-25,McKendree,MIVA
14,Jered Conway,So.,MB,6-6,"Belleville, IL",Belleville East,30138,McKendree University,Midwestern Intercollegiate Volleyball Association,www.mckendree.edu,www.mckbearcats.com,IL,D-I,2024-25,McKendree,MIVA
25,Cam Sheehan,So.,OH,6-4,"O'Fallon, IL",O'Fallon Township,30138,McKendree University,Midwestern Intercollegiate Volleyball Association,www.mckendree.edu,www.mckbearcats.com,IL,D-I,2024-25,McKendree,MIVA
26,Nathan Flayter,So.,S,6-4,"Hales Corners, WI",,30138,McKendree University,Midwestern Intercollegiate Volleyball Association,www.mckendree.edu,www.mckbearcats.com,IL,D-I,2024-25,McKendree,MIVA
4,Boone Felts,So.,OH,6-2,"Knoxville, TN",Carter,30138,McKendree University,Midwestern Intercollegiate Volleyball Association,www.mckendree.edu,www.mckbearcats.com,IL,D-I,2024-25,McKendree,MIVA
6,Yadiel Diaz,Jr.,L/DS,5-6,"Orlando, FL",Timber Creek,30138,McKendree University,Midwestern Intercollegiate Volleyball Association,www.mckendree.edu,www.mckbearcats.com,IL,D-I,2024-25,McKendree,MIVA
15,Will Klimek,So.,MB,6-8,"Mount Prospect, IL",Prospect,30138,McKendree University,Midwestern Intercollegiate Volleyball Association,www.mckendree.edu,www.mckbearcats.com,IL,D-I,2024-25,McKendree,MIVA
21,Connor Monahan,So.,RS,6-6,"Peoria, AZ",Ironwood,30138,McKendree University,Midwestern Intercollegiate Volleyball Association,www.mckendree.edu,www.mckbearcats.com,IL,D-I,2024-25,McKendree,MIVA
23,D'Aaron McCraney,Sr.,MB,6-8,"Las Vegas, NV",,30138,McKendree University,Midwestern Intercollegiate Volleyball Association,www.mckendree.edu,www.mckbearcats.com,IL,D-I,2024-25,McKendree,MIVA
18,Kayshaun Higgs,Jr.,S,5-6,,,403,Medgar Evers College,City University of New York Athletic Conference,www.mec.cuny.edu,www.mecathletics.com,NY,D-III,2024-25,Medgar Evers,CUNYAC
6,Cody Ramsey,Jr.,OH,5-11,,,403,Medgar Evers College,City University of New York Athletic Conference,www.mec.cuny.edu,www.mecathletics.com,NY,D-III,2024-25,Medgar Evers,CUNYAC
10,Jerome Hodges,So.,MH,6-1,,,403,Medgar Evers College,City University of New York Athletic Conference,www.mec.cuny.edu,www.mecathletics.com,NY,D-III,2024-25,Medgar Evers,CUNYAC
16,Patrick Mateo,So.,S,5-6,,,403,Medgar Evers College,City University of New York Athletic Conference,www.mec.cuny.edu,www.mecathletics.com,NY,D-III,2024-25,Medgar Evers,CUNYAC
4,Carlos Abreu,Jr.,DB,5-8,,,403,Medgar Evers College,City University of New York Athletic Conference,www.mec.cuny.edu,www.mecathletics.com,NY,D-III,2024-25,Medgar Evers,CUNYAC
20,Kadeem Hagley,Fr.,,-,,,403,Medgar Evers College,City University of New York Athletic Conference,www.mec.cuny.edu,www.mecathletics.com,NY,D-III,2024-25,Medgar Evers,CUNYAC
4,Blake Taschner,So.,S,6-2,"San Diego, CA",Scripps Ranch High School,410,Merrimack College,Northeast Conference,www.merrimack.edu,www.merrimackathletics.com,MA,D-I,2024-25,Merrimack,NEC
5,Logan Whitaker,Jr.,OH,6-4,"West Palm Beach, FL",Suncoast High School,410,Merrimack College,Northeast Conference,www.merrimack.edu,www.merrimackathletics.com,MA,D-I,2024-25,Merrimack,NEC
1,Anthony Clapp,Sr.,L,6-0,"Boynton Beach, FL",,410,Merrimack College,Northeast Conference,www.merrimack.edu,www.merrimackathletics.com,MA,D-I,2024-25,Merrimack,NEC
11,Kyle Standage,Jr.,L,5-10,"Gilbert, AZ",Mountain View High School,410,Merrimack College,Northeast Conference,www.merrimack.edu,www.merrimackathletics.com,MA,D-I,2024-25,Merrimack,NEC
21,Kyle Wagner,Jr.,L,5-8,"Orland Park, IL",Carl Sandburg High School,410,Merrimack College,Northeast Conference,www.merrimack.edu,www.merrimackathletics.com,MA,D-I,2024-25,Merrimack,NEC
10,Reece Lindstrom,So.,S,6-6,"Parker, CO",Legend High School,410,Merrimack College,Northeast Conference,www.merrimack.edu,www.merrimackathletics.com,MA,D-I,2024-25,Merrimack,NEC
8,Jack Johnson,So.,MB,6-5,"Warwick, RI",Lasalle Academy,410,Merrimack College,Northeast Conference,www.merrimack.edu,www.merrimackathletics.com,MA,D-I,2024-25,Merrimack,NEC
7,Kai Vogel,So.,OH,6-3,"Rancho Cucamonga, CA",Upland High School,410,Merrimack College,Northeast Conference,www.merrimack.edu,www.merrimackathletics.com,MA,D-I,2024-25,Merrimack,NEC
6,Isaiah Vogel,So.,OH,6-3,"Rancho Cucamonga, CA",Upland High School,410,Merrimack College,Northeast Conference,www.merrimack.edu,www.merrimackathletics.com,MA,D-I,2024-25,Merrimack,NEC
15,Yulius Melvin Brown Rudolf,So.,OPP,6-4,,,410,Merrimack College,Northeast Conference,www.merrimack.edu,www.merrimackathletics.com,MA,D-I,2024-25,Merrimack,NEC
24,Davis McCurdy,Jr.,OPP,6-2,"West Jordan, UT",,410,Merrimack College,Northeast Conference,www.merrimack.edu,www.merrimackathletics.com,MA,D-I,2024-25,Merrimack,NEC
23,Nick Tidik,Jr.,MB,6-6,"Los Angeles, CA",,410,Merrimack College,Northeast Conference,www.merrimack.edu,www.merrimackathletics.com,MA,D-I,2024-25,Merrimack,NEC
9,Andrew Haber,Jr.,S,6-1,,,410,Merrimack College,Northeast Conference,www.merrimack.edu,www.merrimackathletics.com,MA,D-I,2024-25,Merrimack,NEC
2,Drew Dennis,Fr.,OH,6-1,"Las Vegas, NV",,410,Merrimack College,Northeast Conference,www.merrimack.edu,www.merrimackathletics.com,MA,D-I,2024-25,Merrimack,NEC
13,John Clinton,Fr.,OH,6-6,,,410,Merrimack College,Northeast Conference,www.merrimack.edu,www.merrimackathletics.com,MA,D-I,2024-25,Merrimack,NEC
3,Ephraim Abhulime,Fr.,MB,6-7,"Providence, RI",,410,Merrimack College,Northeast Conference,www.merrimack.edu,www.merrimackathletics.com,MA,D-I,2024-25,Merrimack,NEC
18,Curtis U'Glay,Fr.,MB,6-8,,,410,Merrimack College,Northeast Conference,www.merrimack.edu,www.merrimackathletics.com,MA,D-I,2024-25,Merrimack,NEC
17,Nathan Knapp,Fr.,OPP,6-4,,,410,Merrimack College,Northeast Conference,www.merrimack.edu,www.merrimackathletics.com,MA,D-I,2024-25,Merrimack,NEC
25,Kasen Owens,Fr.,OH,6-5,,,410,Merrimack College,Northeast Conference,www.merrimack.edu,www.merrimackathletics.com,MA,D-I,2024-25,Merrimack,NEC
12,Dallas Birkenbeuel,Fr.,OPP,6-5,,,410,Merrimack College,Northeast Conference,www.merrimack.edu,www.merrimackathletics.com,MA,D-I,2024-25,Merrimack,NEC
13,Jonathan Nixon,Jr.,S,6-2,,,411,Messiah University,Middle Atlantic Conferences,www.messiah.edu,www.gomessiah.com,PA,D-III,2024-25,Messiah,Middle Atlantic
12,Alex Kagoro,Jr.,OH,6-3,,,411,Messiah University,Middle Atlantic Conferences,www.messiah.edu,www.gomessiah.com,PA,D-III,2024-25,Messiah,Middle Atlantic
7,Ethan Espenshade,Jr.,L/DS,6-0,,,411,Messiah University,Middle Atlantic Conferences,www.messiah.edu,www.gomessiah.com,PA,D-III,2024-25,Messiah,Middle Atlantic
8,Marcos Garcia,Jr.,S,6-1,,,411,Messiah University,Middle Atlantic Conferences,www.messiah.edu,www.gomessiah.com,PA,D-III,2024-25,Messiah,Middle Atlantic
4,Lucas Plumey,Sr.,L/DS,5-8,,,411,Messiah University,Middle Atlantic Conferences,www.messiah.edu,www.gomessiah.com,PA,D-III,2024-25,Messiah,Middle Atlantic
11,Jacob Hamm,Sr.,OH,6-4,,,411,Messiah University,Middle Atlantic Conferences,www.messiah.edu,www.gomessiah.com,PA,D-III,2024-25,Messiah,Middle Atlantic
22,Ryan Givens,Sr.,MH,6-6,,,411,Messiah University,Middle Atlantic Conferences,www.messiah.edu,www.gomessiah.com,PA,D-III,2024-25,Messiah,Middle Atlantic
15,Conner Stauffer,Sr.,OH,6-4,,,411,Messiah University,Middle Atlantic Conferences,www.messiah.edu,www.gomessiah.com,PA,D-III,2024-25,Messiah,Middle Atlantic
5,Brayden Parks,Sr.,RS,6-2,,,411,Messiah University,Middle Atlantic Conferences,www.messiah.edu,www.gomessiah.com,PA,D-III,2024-25,Messiah,Middle Atlantic
2,Noah Aurdos,So.,S,5-8,,,411,Messiah University,Middle Atlantic Conferences,www.messiah.edu,www.gomessiah.com,PA,D-III,2024-25,Messiah,Middle Atlantic
3,Seth Graybill,So.,L/DS,5-9,,,411,Messiah University,Middle Atlantic Conferences,www.messiah.edu,www.gomessiah.com,PA,D-III,2024-25,Messiah,Middle Atlantic
18,Jake Eby,So.,MH,6-5,,,411,Messiah University,Middle Atlantic Conferences,www.messiah.edu,www.gomessiah.com,PA,D-III,2024-25,Messiah,Middle Atlantic
24,Ethan Earhart,So.,MH,6-6,,,411,Messiah University,Middle Atlantic Conferences,www.messiah.edu,www.gomessiah.com,PA,D-III,2024-25,Messiah,Middle Atlantic
23,Tyler McConnell,So.,OH,6-4,,,411,Messiah University,Middle Atlantic Conferences,www.messiah.edu,www.gomessiah.com,PA,D-III,2024-25,Messiah,Middle Atlantic
6,Brandon Sharp,So.,S,6-2,,,411,Messiah University,Middle Atlantic Conferences,www.messiah.edu,www.gomessiah.com,PA,D-III,2024-25,Messiah,Middle Atlantic
14,Sean Gillespie,So.,OH,6-4,,,411,Messiah University,Middle Atlantic Conferences,www.messiah.edu,www.gomessiah.com,PA,D-III,2024-25,Messiah,Middle Atlantic
1,Seth Thomas,Jr.,OPP,6-1,,,20220,Milwaukee School of Engineering,Northern Athletics Collegiate Conference,www.msoe.edu/,go-raiders.com,WI,D-III,2024-25,MSOE,NACC
15,James Zippay,Jr.,OH,6-2,,,20220,Milwaukee School of Engineering,Northern Athletics Collegiate Conference,www.msoe.edu/,go-raiders.com,WI,D-III,2024-25,MSOE,NACC
2,Callan Harris,So.,OPP,6-1,,,20220,Milwaukee School of Engineering,Northern Athletics Collegiate Conference,www.msoe.edu/,go-raiders.com,WI,D-III,2024-25,MSOE,NACC
7,Matthew Chavez,Sr.,S,6-2,,,20220,Milwaukee School of Engineering,Northern Athletics Collegiate Conference,www.msoe.edu/,go-raiders.com,WI,D-III,2024-25,MSOE,NACC
17,John Wolf,Jr.,MB,6-5,,,20220,Milwaukee School of Engineering,Northern Athletics Collegiate Conference,www.msoe.edu/,go-raiders.com,WI,D-III,2024-25,MSOE,NACC
23,Ian Glashagel,Sr.,OH,6-6,,,20220,Milwaukee School of Engineering,Northern Athletics Collegiate Conference,www.msoe.edu/,go-raiders.com,WI,D-III,2024-25,MSOE,NACC
11,Matthew Schultz,So.,MB,6-3,,,20220,Milwaukee School of Engineering,Northern Athletics Collegiate Conference,www.msoe.edu/,go-raiders.com,WI,D-III,2024-25,MSOE,NACC
14,Filip Topor,So.,MB,6-6,,,20220,Milwaukee School of Engineering,Northern Athletics Collegiate Conference,www.msoe.edu/,go-raiders.com,WI,D-III,2024-25,MSOE,NACC
6,Christian Gulak,So.,OH,6-1,,,20220,Milwaukee School of Engineering,Northern Athletics Collegiate Conference,www.msoe.edu/,go-raiders.com,WI,D-III,2024-25,MSOE,NACC
9,Antonio Llona Baez,So.,OH,6-0,,,20220,Milwaukee School of Engineering,Northern Athletics Collegiate Conference,www.msoe.edu/,go-raiders.com,WI,D-III,2024-25,MSOE,NACC
13,Parker Rings,So.,S,6-4,,,20220,Milwaukee School of Engineering,Northern Athletics Collegiate Conference,www.msoe.edu/,go-raiders.com,WI,D-III,2024-25,MSOE,NACC
16,Quinn Kozak,So.,OPP,6-3,,,20220,Milwaukee School of Engineering,Northern Athletics Collegiate Conference,www.msoe.edu/,go-raiders.com,WI,D-III,2024-25,MSOE,NACC
22,Brendan Nesemann,So.,S,6-5,,,20220,Milwaukee School of Engineering,Northern Athletics Collegiate Conference,www.msoe.edu/,go-raiders.com,WI,D-III,2024-25,MSOE,NACC
21,Jackson Phillips,So.,L,5-11,,,20220,Milwaukee School of Engineering,Northern Athletics Collegiate Conference,www.msoe.edu/,go-raiders.com,WI,D-III,2024-25,MSOE,NACC
10,Carter Shavitz,Sr.,OH,6-5,,,20220,Milwaukee School of Engineering,Northern Athletics Collegiate Conference,www.msoe.edu/,go-raiders.com,WI,D-III,2024-25,MSOE,NACC
12,Tommy Clausz,Sr.,MB,6-4,,,20220,Milwaukee School of Engineering,Northern Athletics Collegiate Conference,www.msoe.edu/,go-raiders.com,WI,D-III,2024-25,MSOE,NACC
5,Hunter Carroll,Fr.,MB,6-4,"Saint John, IN",Lake Central,20220,Milwaukee School of Engineering,Northern Athletics Collegiate Conference,www.msoe.edu/,go-raiders.com,WI,D-III,2024-25,MSOE,NACC
3,Gregory Kubon,Fr.,OH,6-1,"Mount Prospect, IL",Hersey,20220,Milwaukee School of Engineering,Northern Athletics Collegiate Conference,www.msoe.edu/,go-raiders.com,WI,D-III,2024-25,MSOE,NACC
18,Benjamin Clendening,Jr.,MB,6-6,,,16142,Misericordia University,Middle Atlantic Conferences,www.misericordia.edu/,www.misericordia.edu/athletics,PA,D-III,2024-25,Misericordia,Middle Atlantic
9,Logan Romeika,Jr.,OH,6-0,,,16142,Misericordia University,Middle Atlantic Conferences,www.misericordia.edu/,www.misericordia.edu/athletics,PA,D-III,2024-25,Misericordia,Middle Atlantic
4,Jackson Fehnel,Jr.,OH,6-1,,,16142,Misericordia University,Middle Atlantic Conferences,www.misericordia.edu/,www.misericordia.edu/athletics,PA,D-III,2024-25,Misericordia,Middle Atlantic
